"GridID","area","ORIGFID","Depth","DistCoast","x.pos","y.pos","impact"
113094,0.25,142,-19.02,22806,429305.73,6138265.76,0
114094,0.25,143,-18.18,22538,429805.73,6138265.76,0
115094,0.25,144,-17.37,22277,430305.73,6138265.76,0
116094,0.25,145,-16.58,22023,430805.73,6138265.76,0
117094,0.25,146,-15.95,21778,431305.73,6138265.76,0
118094,0.25,147,-15.95,21542,431805.73,6138265.76,0
119094,0.25,148,-16.15,21314,432305.73,6138265.76,0
120094,0.25,149,-16.35,21094,432805.73,6138265.76,0
121094,0.25,150,-16.54,20882,433305.73,6138265.76,0
122094,0.25,151,-16.8,20674,433805.73,6138265.76,0
123094,0.25,152,-16.99,20468,434305.73,6138265.76,0
124094,0.25,153,-17.08,20263,434805.73,6138265.76,0
125094,0.25,154,-17.07,20067,435305.73,6138265.76,0
126094,0.25,155,-17.02,19840,435805.73,6138265.76,0
127094,0.25,156,-16.94,19616,436305.73,6138265.76,0
128094,0.25,157,-16.83,19390,436805.73,6138265.76,0
129094,0.25,158,-16.72,19171,437305.73,6138265.76,0
130094,0.25,159,-16.58,18957,437805.73,6138265.76,0
131094,0.25,160,-16.44,18753,438305.73,6138265.76,0
132094,0.25,161,-16.28,18465,438805.73,6138265.76,0
133094,0.25,162,-16.1,18142,439305.73,6138265.76,0
134094,0.25,163,-15.96,17820,439805.73,6138265.76,0
135094,0.25,164,-15.88,17479,440305.73,6138265.76,0
136094,0.25,165,-15.83,17135,440805.73,6138265.76,0
137094,0.25,166,-15.77,16799,441305.73,6138265.76,0
138094,0.25,167,-15.66,16466,441805.73,6138265.76,0
139094,0.25,168,-15.14,16136,442305.73,6138265.76,0
140094,0.25,169,-14.46,15788,442805.73,6138265.76,0
141094,0.25,170,-13.88,15443,443305.73,6138265.76,0
142094,0.25,171,-13.4,15100,443805.73,6138265.76,0
78093,0.25,189,-25.45,35145,411805.73,6138765.76,0
79093,0.25,190,-25.33,34723,412305.73,6138765.76,0
80093,0.25,191,-25.2,34303,412805.73,6138765.76,0
81093,0.25,192,-25.08,33886,413305.73,6138765.76,0
82093,0.25,193,-25.01,33470,413805.73,6138765.76,0
83093,0.25,194,-24.95,33057,414305.73,6138765.76,0
84093,0.25,195,-24.87,32647,414805.73,6138765.76,0
85093,0.25,196,-24.78,32239,415305.73,6138765.76,0
86093,0.25,197,-24.67,31833,415805.73,6138765.76,0
87093,0.25,198,-24.53,31431,416305.73,6138765.76,0
88093,0.25,199,-24.32,31031,416805.73,6138765.76,0
89093,0.25,200,-24.06,30634,417305.73,6138765.76,0
90093,0.25,201,-23.77,30240,417805.73,6138765.76,0
91093,0.25,202,-23.44,29850,418305.73,6138765.76,0
92093,0.25,203,-23.07,29462,418805.73,6138765.76,0
93093,0.25,204,-22.67,29078,419305.73,6138765.76,0
94093,0.25,205,-22.28,28698,419805.73,6138765.76,0
95093,0.25,206,-21.96,28322,420305.73,6138765.76,0
96093,0.25,207,-21.72,27949,420805.73,6138765.76,0
97093,0.25,208,-21.58,27580,421305.73,6138765.76,0
98093,0.25,209,-21.57,27216,421805.73,6138765.76,0
99093,0.25,210,-21.6,26856,422305.73,6138765.76,0
100093,0.25,211,-21.65,26500,422805.73,6138765.76,0
101093,0.25,212,-21.71,26149,423305.73,6138765.76,0
102093,0.25,213,-21.79,25803,423805.73,6138765.76,0
103093,0.25,214,-21.91,25462,424305.73,6138765.76,0
104093,0.25,215,-21.82,25127,424805.73,6138765.76,0
105093,0.25,216,-21.48,24797,425305.73,6138765.76,0
106093,0.25,217,-21.17,24473,425805.73,6138765.76,0
107093,0.25,218,-20.91,24154,426305.73,6138765.76,0
108093,0.25,219,-20.7,23842,426805.73,6138765.76,0
109093,0.25,220,-20.55,23537,427305.73,6138765.76,0
110093,0.25,221,-20.43,23238,427805.73,6138765.76,0
111093,0.25,222,-20.16,22946,428305.73,6138765.76,0
112093,0.25,223,-19.41,22662,428805.73,6138765.76,0
113093,0.25,224,-18.51,22385,429305.73,6138765.76,0
114093,0.25,225,-17.68,22116,429805.73,6138765.76,0
115093,0.25,226,-16.92,21850,430305.73,6138765.76,0
116093,0.25,227,-16.24,21591,430805.73,6138765.76,0
117093,0.25,228,-15.77,21341,431305.73,6138765.76,0
118093,0.25,229,-15.73,21100,431805.73,6138765.76,0
119093,0.25,230,-15.89,20868,432305.73,6138765.76,0
120093,0.25,231,-16.08,20644,432805.73,6138765.76,0
121093,0.25,232,-16.27,20430,433305.73,6138765.76,0
122093,0.25,233,-16.46,20218,433805.73,6138765.76,0
123093,0.25,234,-16.6,20012,434305.73,6138765.76,0
124093,0.25,235,-16.7,19806,434805.73,6138765.76,0
125093,0.25,236,-16.75,19606,435305.73,6138765.76,0
126093,0.25,237,-16.74,19394,435805.73,6138765.76,0
127093,0.25,238,-16.7,19171,436305.73,6138765.76,0
128093,0.25,239,-16.63,18942,436805.73,6138765.76,0
129093,0.25,240,-16.53,18722,437305.73,6138765.76,0
130093,0.25,241,-16.42,18504,437805.73,6138765.76,0
131093,0.25,242,-16.29,18295,438305.73,6138765.76,0
132093,0.25,243,-16.15,18085,438805.73,6138765.76,0
133093,0.25,244,-15.98,17760,439305.73,6138765.76,0
134093,0.25,245,-15.84,17437,439805.73,6138765.76,0
135093,0.25,246,-15.75,17116,440305.73,6138765.76,0
136093,0.25,247,-15.67,16772,440805.73,6138765.76,0
137093,0.25,248,-15.56,16429,441305.73,6138765.76,0
138093,0.25,249,-15.35,16093,441805.73,6138765.76,0
139093,0.25,250,-14.88,15760,442305.73,6138765.76,0
140093,0.25,251,-14.35,15429,442805.73,6138765.76,0
141093,0.25,252,-13.9,15081,443305.73,6138765.76,0
142093,0.25,253,-13.57,14736,443805.73,6138765.76,0
143093,0.25,254,-13.38,14393,444305.73,6138765.76,0
78092,0.25,271,-25.53,34880,411805.73,6139265.76,0
79092,0.25,272,-25.42,34455,412305.73,6139265.76,0
80092,0.25,273,-25.34,34032,412805.73,6139265.76,0
81092,0.25,274,-25.29,33611,413305.73,6139265.76,0
82092,0.25,275,-25.21,33193,413805.73,6139265.76,0
83092,0.25,276,-25.1,32776,414305.73,6139265.76,0
84092,0.25,277,-25,32362,414805.73,6139265.76,0
85092,0.25,278,-24.91,31951,415305.73,6139265.76,0
86092,0.25,279,-24.81,31542,415805.73,6139265.76,0
87092,0.25,280,-24.67,31135,416305.73,6139265.76,0
88092,0.25,281,-24.43,30731,416805.73,6139265.76,0
89092,0.25,282,-24.15,30331,417305.73,6139265.76,0
90092,0.25,283,-23.84,29933,417805.73,6139265.76,0
91092,0.25,284,-23.49,29538,418305.73,6139265.76,0
92092,0.25,285,-23.11,29147,418805.73,6139265.76,0
93092,0.25,286,-22.72,28759,419305.73,6139265.76,0
94092,0.25,287,-22.3,28374,419805.73,6139265.76,0
95092,0.25,288,-21.89,27993,420305.73,6139265.76,0
96092,0.25,289,-21.55,27616,420805.73,6139265.76,0
97092,0.25,290,-21.35,27243,421305.73,6139265.76,0
98092,0.25,291,-21.37,26874,421805.73,6139265.76,0
99092,0.25,292,-21.45,26509,422305.73,6139265.76,0
100092,0.25,293,-21.54,26148,422805.73,6139265.76,0
101092,0.25,294,-21.64,25793,423305.73,6139265.76,0
102092,0.25,295,-21.78,25442,423805.73,6139265.76,0
103092,0.25,296,-21.93,25096,424305.73,6139265.76,0
104092,0.25,297,-21.63,24756,424805.73,6139265.76,0
105092,0.25,298,-21.17,24421,425305.73,6139265.76,0
106092,0.25,299,-20.8,24092,425805.73,6139265.76,0
107092,0.25,300,-20.47,23768,426305.73,6139265.76,0
108092,0.25,301,-20.19,23451,426805.73,6139265.76,0
109092,0.25,302,-19.92,23140,427305.73,6139265.76,0
110092,0.25,303,-19.62,22837,427805.73,6139265.76,0
111092,0.25,304,-19.24,22540,428305.73,6139265.76,0
112092,0.25,305,-18.64,22250,428805.73,6139265.76,0
113092,0.25,306,-17.88,21968,429305.73,6139265.76,0
114092,0.25,307,-17.12,21694,429805.73,6139265.76,0
115092,0.25,308,-16.46,21426,430305.73,6139265.76,0
116092,0.25,309,-15.91,21162,430805.73,6139265.76,0
117092,0.25,310,-15.54,20907,431305.73,6139265.76,0
118092,0.25,311,-15.5,20661,431805.73,6139265.76,0
119092,0.25,312,-15.64,20424,432305.73,6139265.76,0
120092,0.25,313,-15.82,20196,432805.73,6139265.76,0
121092,0.25,314,-16,19977,433305.73,6139265.76,0
122092,0.25,315,-16.16,19764,433805.73,6139265.76,0
123092,0.25,316,-16.28,19557,434305.73,6139265.76,0
124092,0.25,317,-16.39,19350,434805.73,6139265.76,0
125092,0.25,318,-16.47,19147,435305.73,6139265.76,0
126092,0.25,319,-16.49,18950,435805.73,6139265.76,0
127092,0.25,320,-16.48,18722,436305.73,6139265.76,0
128092,0.25,321,-16.43,18498,436805.73,6139265.76,0
129092,0.25,322,-16.36,18272,437305.73,6139265.76,0
130092,0.25,323,-16.27,18053,437805.73,6139265.76,0
131092,0.25,324,-16.16,17839,438305.73,6139265.76,0
